Player_Name,Position_ID,Shots,Makes,Pass,Accuracy,Personal_Rating,Goals,Assists,Fouls,Yellow_Card,Red_Card,Years_Pro,Team_Value
Jack Charles,6,4.720000,0.250000,29.830000,63.970000,5.070000,24,21,57,0,3,3,rotation
Daniil Popov,6,2.960000,0.760000,38.710000,95.920000,9.160000,4,17,39,0,4,11,rotation
Viktor Ivanov,3,3.950000,0.500000,17.410000,95.090000,4.660000,20,3,5,0,4,6,rotation
Jacob Nathan,10,5.010000,0.750000,21.210000,79.280000,5.580000,2,10,44,9,2,10,rotation
Alexei Volkov,6,1.710000,0.520000,53.980000,51.680000,5.700000,4,20,19,9,4,11,rotation
Boris Kozlov,5,1.120000,0.680000,89.850000,83.300000,5.080000,7,6,3,3,4,6,rotation
Maxim Popov,8,3.150000,0.680000,90.440000,44.760000,9.180000,11,2,34,3,3,0,future
Viktor Kuznetsov,4,4.010000,0.690000,23.830000,91.960000,8.050000,11,13,26,1,4,0,future
Anthony Steven,8,0.870000,0.210000,24.700000,75.480000,4.740000,9,18,35,9,1,6,rotation
Daniel Robert,9,5.330000,0.210000,48.040000,93.090000,8.230000,15,2,57,5,0,12,rotation
Omar Murat,6,3.950000,0.430000,50.700000,97.740000,7.240000,7,14,26,6,1,10,rotation
Mikhail Volkov,8,4.360000,0.360000,25.890000,84.270000,4.410000,2,19,42,8,1,4,rotation
David Jose,4,4.100000,0.730000,76.030000,74.430000,9.830000,23,14,7,11,1,9,rotation
Ramazan Amangeldi,0,1.000000,0.260000,73.070000,96.560000,9.470000,15,1,29,9,4,1,rotation
William Jacob,3,1.240000,0.690000,29.780000,63.040000,5.880000,7,3,52,13,3,10,rotation
Ramazan Amangeldi,2,1.260000,0.420000,66.730000,76.560000,5.480000,20,0,41,10,1,2,rotation
Jack David,8,2.820000,0.300000,70.540000,83.040000,7.390000,23,2,32,12,1,9,rotation
Charles Samuel,7,3.950000,0.770000,99.430000,49.130000,5.630000,8,10,31,14,4,8,rotation
Henry Jacob,6,1.840000,0.650000,19.320000,79.440000,5.800000,8,7,13,7,2,6,rotation
Nurislam Suleimenov,3,4.590000,0.360000,104.800000,33.600000,4.640000,22,8,36,13,3,7,rotation
Muslim Amangeldi,8,3.690000,0.670000,93.640000,60.750000,7.400000,11,21,61,3,0,7,rotation
Robert Jack,10,5.170000,0.710000,95.260000,34.500000,9.370000,16,18,60,7,1,0,future
Ali Akhmetov,7,3.840000,0.240000,33.710000,39.500000,6.440000,11,13,66,2,1,5,main
Aldiyar Abdrakhmanov,3,3.300000,0.390000,75.440000,45.220000,7.680000,8,1,44,7,0,7,rotation
Charles Anthony,6,3.110000,0.220000,103.330000,64.800000,6.380000,2,0,10,6,2,10,rotation
James Justin,10,4.610000,0.210000,28.320000,53.240000,5.870000,10,10,67,1,4,2,main
William John,9,5.290000,0.770000,48.330000,87.860000,5.290000,3,15,20,12,0,5,rotation
Ibrahim Kusainov,2,1.020000,0.490000,54.630000,56.200000,5.150000,9,5,44,11,2,1,rotation
Ibrahim Kusainov,8,1.890000,0.370000,94.450000,79.000000,5.690000,9,16,40,8,4,10,rotation
Maxim Vasiliev,10,4.610000,0.380000,106.930000,45.400000,4.120000,1,14,64,7,0,4,rotation
Ronald Nathan,7,2.640000,0.270000,72.630000,73.740000,9.690000,9,10,33,3,1,1,rotation
Martin Daniel,1,0.950000,0.320000,13.910000,46.090000,9.290000,4,10,19,11,2,14,rotation
Richard Donald,8,2.030000,0.320000,101.360000,98.330000,7.780000,2,19,17,4,4,0,future
Omar Ibraev,3,4.650000,0.790000,20.630000,46.920000,4.030000,4,13,31,7,0,8,rotation
Ali Ibraev,3,2.130000,0.280000,18.360000,63.110000,6.150000,19,7,39,4,0,13,rotation
Ethan Raymond,1,3.650000,0.660000,37.200000,71.580000,9.320000,20,17,26,12,2,4,superstar
Aisultan Serik,8,3.030000,0.640000,89.530000,41.510000,6.260000,20,5,34,5,4,8,rotation
Jerry Alexander,5,3.170000,0.250000,22.100000,87.470000,7.670000,5,11,19,8,0,14,rotation
Paul Gary,6,4.200000,0.700000,89.680000,42.090000,7.400000,3,23,2,14,3,4,rotation
Mikhail Pavlov,6,5.140000,0.420000,84.220000,34.400000,6.890000,20,11,61,13,3,5,rotation
Ramazan Bolat,2,0.530000,0.350000,19.550000,83.600000,6.870000,16,10,13,1,4,9,main
Peter Nathan,4,3.350000,0.490000,102.450000,74.050000,8.450000,3,13,46,0,3,5,rotation
Justin Paul,8,1.240000,0.760000,29.780000,55.510000,7.710000,18,21,25,11,3,4,superstar
Ibrahim Murat,0,1.920000,0.620000,76.920000,51.510000,9.360000,9,23,17,11,3,9,rotation
Omar Smagulov,9,2.700000,0.580000,18.700000,77.640000,9.420000,1,8,2,8,3,10,rotation
Omar Omarov,3,0.980000,0.470000,43.260000,42.960000,5.240000,9,2,2,3,0,4,rotation
John William,1,4.610000,0.410000,87.370000,32.500000,5.380000,15,13,14,13,3,8,main
Justin Aaron,8,2.310000,0.220000,44.420000,41.370000,8.400000,4,7,5,1,0,5,rotation
Alikhan Sadykov,2,0.890000,0.530000,38.480000,55.620000,4.830000,14,14,69,2,3,11,rotation
Aleksandr Alekseev,5,2.030000,0.340000,95.440000,54.370000,9.320000,22,11,37,7,2,11,rotation
Sanzhar Aliev,3,2.660000,0.480000,40.410000,33.990000,4.860000,5,24,52,12,0,12,rotation
Nathan Samuel,10,4.040000,0.360000,77.480000,88.550000,6.220000,0,8,68,11,2,14,rotation
Martin Brandon,9,3.080000,0.720000,66.880000,34.960000,5.420000,20,16,68,10,4,8,rotation
Rodion Kozlov,2,5.040000,0.250000,106.260000,58.870000,4.980000,5,20,26,12,2,0,future
Anatoly Makarov,9,3.220000,0.440000,93.640000,72.190000,7.660000,19,6,60,10,0,7,rotation
Artem Lebedev,8,3.350000,0.510000,60.980000,79.510000,5.280000,20,10,0,10,2,3,rotation
Alexei Makarov,1,4.790000,0.210000,53.640000,98.310000,8.870000,13,14,47,3,1,4,rotation
Erasyl Aliev,7,5.130000,0.750000,94.390000,32.020000,9.150000,22,5,16,11,0,4,rotation
Justin Larry,5,2.720000,0.760000,54.000000,88.470000,7.850000,11,8,14,10,3,13,rotation
Alinur Omarov,8,1.740000,0.250000,15.410000,77.310000,6.660000,21,23,9,13,1,6,rotation
Andrei Orlov,1,2.230000,0.510000,85.980000,84.110000,6.160000,1,18,33,13,3,0,future
Boris Volkov,9,1.590000,0.670000,80.530000,39.120000,4.680000,20,15,41,7,3,8,rotation
Thomas Jacob,10,4.130000,0.410000,74.010000,79.770000,5.820000,4,2,4,6,3,7,rotation
Ivan Kozlov,7,2.440000,0.620000,49.090000,92.910000,8.080000,4,24,7,14,1,7,rotation
Valentin Volkov,1,3.030000,0.550000,101.490000,49.830000,7.380000,1,16,21,1,0,8,rotation
Islam Suleimenov,0,2.060000,0.770000,83.960000,94.250000,7.810000,2,9,1,11,4,7,rotation
Robert Charles,6,1.910000,0.390000,106.400000,96.920000,4.720000,9,16,15,4,0,13,rotation
Sanzhar Abdrakhmanov,4,0.820000,0.750000,24.440000,65.390000,9.630000,8,17,18,11,3,5,rotation
Walter Joshua,7,2.510000,0.560000,108.330000,42.190000,7.880000,8,1,31,0,1,6,rotation
Robert Matthew,3,5.500000,0.260000,64.230000,82.530000,5.360000,9,8,29,11,2,13,rotation
Mark Makarov,4,2.380000,0.690000,57.380000,55.530000,9.510000,8,12,61,12,1,8,rotation
Tyler Anthony,1,5.080000,0.530000,25.420000,65.470000,7.220000,24,11,13,3,1,11,rotation
Ibrahim Murat,6,2.680000,0.310000,39.200000,35.810000,8.450000,11,20,69,11,0,1,rotation
Alikhan Bolat,1,5.140000,0.750000,12.560000,34.750000,4.820000,13,5,68,11,4,7,rotation
Aisultan Iskakov,1,2.200000,0.680000,104.110000,75.310000,8.010000,19,16,11,5,2,5,superstar
Artem Smirnov,7,4.010000,0.220000,94.820000,56.330000,8.650000,20,6,56,10,2,13,rotation
Ibrahim Sadykov,1,1.120000,0.630000,83.140000,69.790000,6.380000,24,0,52,3,0,14,rotation
Yuri Orlov,5,2.740000,0.210000,13.500000,65.010000,4.070000,24,5,58,0,0,1,rotation
Sanzhar Iskakov,10,1.610000,0.320000,13.480000,45.790000,9.590000,14,18,62,8,0,2,rotation
Samuel Scott,0,1.630000,0.230000,80.890000,86.700000,7.300000,6,4,47,2,1,0,future
James George,6,2.790000,0.380000,22.790000,70.020000,9.420000,16,4,28,13,0,10,rotation
Nurislam Ospanov,10,3.590000,0.650000,103.250000,86.090000,4.960000,10,18,15,10,2,5,rotation
Gary John,8,1.740000,0.760000,15.530000,52.580000,8.130000,16,14,16,0,4,13,rotation
Aleksandr Andreev,1,1.760000,0.680000,17.610000,70.240000,9.050000,2,5,21,5,3,1,rotation
Raymond David,1,3.650000,0.450000,50.090000,81.010000,4.210000,22,5,26,6,0,6,rotation
Walter Matthew,1,2.320000,0.380000,49.640000,42.050000,8.630000,9,21,25,0,1,5,rotation
Omar Murat,5,1.300000,0.370000,71.890000,72.490000,5.530000,11,3,51,8,3,2,rotation
Andrew Mike,5,3.250000,0.240000,62.450000,83.090000,9.380000,10,2,42,12,4,5,rotation
Nikolai Popov,6,4.910000,0.630000,33.940000,69.680000,9.440000,16,17,47,14,0,4,rotation
John Larry,9,4.300000,0.740000,68.240000,65.710000,8.880000,0,6,31,5,3,11,rotation
Ramazan Iskakov,6,4.670000,0.370000,45.530000,43.390000,4.460000,0,9,19,8,0,9,rotation
Nikolai Smirnov,7,1.100000,0.210000,82.790000,53.300000,6.630000,10,9,63,5,1,9,main
Ali Sultanov,5,2.040000,0.210000,99.040000,58.290000,7.410000,17,16,69,13,4,1,rotation
Ryan Ronald,0,2.010000,0.400000,67.700000,95.940000,4.710000,9,7,58,11,4,6,rotation
Ibrahim Omarov,5,1.750000,0.500000,90.500000,96.550000,9.400000,10,13,41,5,0,1,rotation
Mikhail Popov,1,1.920000,0.800000,23.600000,91.290000,5.790000,15,17,28,2,2,3,rotation
Gary Henry,0,1.160000,0.530000,108.000000,80.040000,6.800000,21,12,11,12,3,1,rotation
Arsen Aliev,8,5.080000,0.730000,18.230000,64.710000,9.000000,7,20,56,14,4,2,rotation
Aleksandr Volkov,2,1.710000,0.550000,70.000000,59.620000,9.370000,8,1,65,13,1,8,rotation
Erasyl Amangeldi,0,3.640000,0.450000,98.770000,95.000000,8.110000,20,21,10,13,4,8,superstar
Ramazan Murat,1,2.250000,0.490000,86.180000,65.340000,4.420000,15,10,23,1,0,4,rotation
Mikhail Stepanov,10,1.500000,0.800000,89.970000,61.060000,8.540000,19,0,22,7,3,11,rotation
Ali Smagulov,4,5.370000,0.330000,44.560000,78.220000,7.100000,18,13,7,4,4,2,rotation
Viktor Andreev,5,1.060000,0.550000,104.980000,53.780000,4.090000,13,0,2,8,2,2,rotation
Joseph Steven,3,0.980000,0.230000,60.470000,36.850000,5.090000,13,4,55,0,3,12,rotation
Dennis Edward,2,4.130000,0.220000,49.550000,36.380000,7.740000,4,12,9,8,3,9,rotation
Muslim Ibragimov,4,0.660000,0.750000,88.590000,89.700000,7.330000,0,11,27,3,0,0,future
Raymond Benjamin,0,5.240000,0.260000,25.040000,47.490000,8.470000,22,22,59,8,0,11,superstar
Mikhail Pavlov,7,5.150000,0.550000,80.860000,69.660000,6.530000,21,6,32,7,3,1,rotation
Alinur Bolat,6,3.730000,0.610000,49.200000,96.870000,6.330000,16,12,32,6,2,5,main
Arsen Ospanov,0,1.460000,0.450000,26.420000,61.310000,8.970000,5,4,39,0,4,6,rotation
Alinur Smagulov,5,1.530000,0.390000,39.620000,45.250000,8.430000,13,20,63,6,0,14,rotation
Amir Serik,9,0.640000,0.340000,86.620000,37.100000,4.090000,20,11,2,4,4,9,rotation
Maxim Novikov,4,2.160000,0.650000,101.180000,97.070000,5.670000,23,24,50,3,3,6,rotation
Charles Walter,6,3.070000,0.220000,100.370000,36.470000,6.950000,15,19,39,2,0,14,rotation
Daniil Semenov,3,3.320000,0.580000,102.500000,89.630000,4.510000,20,12,21,3,1,0,future
Ivan Mikhaylov,5,4.800000,0.370000,65.770000,35.420000,9.150000,1,7,11,14,2,7,rotation
Artem Orlov,9,4.830000,0.680000,14.550000,59.080000,6.990000,16,22,50,5,3,9,rotation
Aaron Martin,0,0.750000,0.400000,107.220000,44.530000,9.530000,2,22,51,13,2,2,rotation
James Mark,3,1.850000,0.390000,15.720000,44.090000,5.750000,18,10,58,11,0,11,rotation
Daniil Mikhaylov,10,3.920000,0.470000,33.230000,47.520000,4.580000,12,18,38,3,2,6,rotation
Artem Alekseev,10,0.720000,0.730000,32.550000,44.760000,8.860000,22,1,22,3,3,12,rotation
Leonid Novikov,3,3.200000,0.720000,75.900000,95.740000,4.480000,14,5,54,4,1,14,rotation
Sanzhar Suleimenov,10,4.020000,0.360000,48.510000,73.840000,6.290000,17,5,49,14,1,9,rotation
Scott Martin,2,2.070000,0.250000,100.270000,47.250000,6.740000,16,5,62,3,3,5,rotation
Samuel Dustin,1,3.410000,0.480000,38.340000,90.450000,7.750000,0,22,13,1,2,4,rotation
Benjamin Robert,5,4.800000,0.290000,89.540000,35.500000,4.310000,1,2,66,5,0,6,rotation
Ethan Benjamin,7,1.730000,0.210000,45.790000,87.160000,6.320000,9,18,55,5,4,11,rotation
Nikita Makarov,1,4.980000,0.790000,98.300000,88.360000,9.300000,15,14,29,2,3,6,rotation
Arsen Suleimenov,8,4.580000,0.460000,99.510000,55.590000,9.240000,8,17,32,13,3,8,rotation
Peter Jack,0,0.670000,0.660000,58.230000,60.830000,4.150000,11,21,23,10,1,11,rotation
Jacob Peter,6,1.910000,0.450000,101.050000,62.670000,5.760000,6,20,10,14,2,7,rotation
Dmitri Sokolov,5,2.390000,0.450000,16.830000,97.410000,6.780000,0,17,63,10,3,1,rotation
Aldiyar Aliev,3,3.900000,0.330000,59.290000,42.980000,5.670000,20,2,59,11,4,13,rotation
Charles Brandon,4,1.820000,0.260000,82.860000,89.850000,8.820000,17,14,0,6,1,3,rotation
Richard Justin,7,2.690000,0.230000,61.540000,90.260000,8.750000,21,10,55,9,1,4,rotation
Ali Sadykov,8,3.530000,0.400000,92.920000,50.200000,9.410000,6,19,49,7,1,4,rotation
Ramazan Omarov,4,2.220000,0.580000,47.210000,82.780000,9.860000,17,11,34,8,3,13,rotation
Peter Peter,7,1.170000,0.470000,57.150000,56.190000,4.410000,18,19,20,11,1,3,rotation
Yuri Popov,2,2.210000,0.540000,23.880000,96.640000,7.070000,24,1,3,1,4,9,rotation
Igor Zakharov,10,0.540000,0.430000,65.320000,46.280000,4.790000,12,4,69,10,4,5,rotation
Muslim Ibragimov,2,0.660000,0.600000,51.770000,39.590000,6.860000,7,4,30,7,3,6,rotation
Amir Serik,0,4.180000,0.600000,96.500000,48.240000,5.640000,2,3,17,9,3,10,rotation
Donald David,3,3.440000,0.750000,53.240000,66.130000,4.940000,6,20,26,12,4,12,rotation
Nurislam Ospanov,5,2.740000,0.680000,57.970000,50.100000,7.760000,6,14,26,7,4,4,rotation
Erasyl Abdrakhmanov,0,2.290000,0.590000,86.170000,48.780000,5.100000,1,9,35,0,3,4,rotation
Nurislam Aliev,5,0.780000,0.750000,40.230000,88.360000,5.400000,16,10,10,8,0,0,main
Mark Popov,4,1.780000,0.350000,30.120000,96.260000,4.600000,21,20,6,3,3,2,rotation
Richard Ryan,0,0.840000,0.290000,19.430000,70.730000,9.310000,7,22,24,10,0,2,rotation
Maxim Andreev,7,4.790000,0.240000,105.120000,34.300000,9.500000,6,13,16,2,0,4,rotation
Leonid Lebedev,6,2.090000,0.670000,54.710000,44.580000,7.290000,20,12,68,4,2,5,rotation
Henry Michael,4,1.550000,0.610000,75.500000,48.670000,5.640000,13,17,35,7,0,4,rotation
Matvey Petrov,3,0.840000,0.560000,59.470000,56.980000,4.580000,12,1,45,10,4,11,rotation
Ali Omarov,9,3.620000,0.480000,11.390000,39.020000,6.950000,9,2,21,13,0,11,rotation
Pasha Vasiliev,5,4.690000,0.790000,55.310000,48.310000,8.460000,12,15,9,7,2,6,rotation
Joseph Charles,2,4.920000,0.620000,38.910000,49.260000,8.800000,20,0,64,4,3,10,rotation
Erasyl Ibragimov,2,3.250000,0.760000,33.570000,47.060000,4.870000,1,22,0,13,1,8,rotation
Jacob Benjamin,3,4.910000,0.480000,94.390000,96.890000,7.060000,1,7,34,5,0,7,rotation
Ali Murat,10,0.740000,0.700000,26.690000,33.510000,9.720000,5,9,50,5,3,9,rotation
Ibrahim Omarov,10,2.920000,0.210000,93.140000,61.630000,7.920000,19,20,65,2,2,2,rotation
Sanzhar Iskakov,8,2.730000,0.710000,97.440000,78.110000,7.440000,15,11,8,7,2,4,rotation
Aldiyar Sultanov,2,5.020000,0.800000,24.400000,78.300000,5.220000,18,7,9,11,0,4,rotation
Robert Henry,2,5.180000,0.370000,46.240000,74.390000,6.530000,11,9,64,4,3,8,main
Alexander Charles,2,3.430000,0.760000,78.350000,85.450000,8.100000,8,6,28,6,3,4,rotation
Yuri Zakharov,2,2.950000,0.270000,72.190000,73.470000,8.030000,14,4,46,13,0,8,rotation
Islam Abdrakhmanov,10,3.750000,0.420000,38.030000,36.710000,4.670000,12,24,43,13,2,5,rotation
Erasyl Kaliyev,4,4.040000,0.270000,59.610000,92.380000,9.400000,6,23,66,8,3,5,rotation
Richard Justin,4,5.130000,0.770000,96.730000,47.840000,6.240000,14,17,37,12,3,13,rotation
Mikhail Alekseev,10,4.130000,0.500000,55.720000,64.120000,6.410000,16,23,62,12,2,12,rotation
George Scott,0,5.240000,0.280000,56.300000,60.060000,5.140000,14,12,29,4,1,5,main
Nurislam Aliev,2,1.740000,0.360000,66.250000,86.900000,6.510000,2,8,28,0,0,12,rotation
Michael Jerry,1,2.060000,0.490000,48.870000,44.460000,6.150000,23,13,59,8,4,7,rotation
Amir Abdrakhmanov,9,0.520000,0.800000,42.190000,56.770000,9.460000,1,10,7,14,2,5,rotation
Ramazan Aliev,7,5.070000,0.560000,97.650000,63.140000,9.470000,4,4,41,7,3,8,rotation
Scott Dustin,2,0.780000,0.330000,109.520000,32.960000,8.600000,9,2,40,0,4,8,rotation
Edward David,6,3.970000,0.440000,105.950000,35.100000,8.280000,2,9,14,4,0,14,rotation
Ramazan Kaliyev,2,5.100000,0.450000,67.880000,34.980000,9.530000,9,16,65,8,3,8,rotation
Rodion Morozov,8,4.460000,0.530000,40.340000,66.270000,5.340000,2,17,37,13,0,4,rotation
Boris Morozov,5,5.420000,0.210000,25.030000,65.990000,5.720000,18,18,63,6,4,14,rotation
Rodion Makarov,7,1.490000,0.340000,90.250000,63.370000,5.610000,24,11,24,11,2,13,rotation
Valentin Novikov,8,0.720000,0.550000,99.320000,68.140000,5.110000,22,23,36,7,1,0,future
